IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.83.196,2052,2052,false,SIN,Asia Pacific,Singapore,326,0.07
8.222.153.11,2095,2095,false,SIN,Asia Pacific,Singapore,276,0.07
47.236.123.133,2052,2052,false,SIN,Asia Pacific,Singapore,310,0.07
47.236.75.113,2086,2086,false,SIN,Asia Pacific,Singapore,318,0.07
8.219.170.223,8880,8880,false,SIN,Asia Pacific,Singapore,328,0.07
47.236.79.77,8080,8080,false,SIN,Asia Pacific,Singapore,328,0.06
8.219.0.162,2083,2083,true,SIN,Asia Pacific,Singapore,279,0.06
47.236.121.7,2095,2095,false,SIN,Asia Pacific,Singapore,327,0.06
47.236.116.182,8080,8080,false,SIN,Asia Pacific,Singapore,338,0.06
8.222.167.8,80,80,false,SIN,Asia Pacific,Singapore,279,0.06
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,339,0.06
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,336,0.06
8.222.130.137,2052,2052,false,SIN,Asia Pacific,Singapore,275,0.06
8.222.169.182,8880,8880,false,SIN,Asia Pacific,Singapore,282,0.06
47.236.114.23,80,80,false,SIN,Asia Pacific,Singapore,333,0.06
8.219.198.34,80,80,false,SIN,Asia Pacific,Singapore,332,0.06
8.219.111.147,2086,2086,false,SIN,Asia Pacific,Singapore,282,0.06
8.222.147.203,2095,2095,false,SIN,Asia Pacific,Singapore,276,0.06
8.219.222.98,2082,2082,false,SIN,Asia Pacific,Singapore,334,0.06
8.222.238.141,2096,2096,true,SIN,Asia Pacific,Singapore,290,0.06
8.219.0.162,80,80,false,SIN,Asia Pacific,Singapore,274,0.06
8.222.145.164,8880,8880,false,SIN,Asia Pacific,Singapore,283,0.05
8.219.170.223,443,443,true,SIN,Asia Pacific,Singapore,322,0.05
8.222.237.131,2082,2082,false,SIN,Asia Pacific,Singapore,283,0.05
8.219.152.195,2086,2086,false,SIN,Asia Pacific,Singapore,327,0.05
8.222.137.166,8443,8443,true,SIN,Asia Pacific,Singapore,286,0.05
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,316,0.05
8.222.211.124,2082,2082,false,SIN,Asia Pacific,Singapore,281,0.05
8.222.167.8,8443,0,true,SIN,Asia Pacific,Singapore,271,0.05
47.236.114.23,2096,2096,true,SIN,Asia Pacific,Singapore,328,0.05
47.236.11.84,8080,8080,false,SIN,Asia Pacific,Singapore,328,0.04
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,318,0.04
8.219.200.145,2082,2082,false,SIN,Asia Pacific,Singapore,316,0.04
8.219.194.170,80,80,false,SIN,Asia Pacific,Singapore,317,0.04
8.219.161.129,2095,2095,false,SIN,Asia Pacific,Singapore,327,0.04
8.219.193.202,2096,0,true,SIN,Asia Pacific,Singapore,328,0.04
8.219.66.156,2083,2083,true,SIN,Asia Pacific,Singapore,275,0.04
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,280,0.04
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,307,0.03
8.222.221.86,2083,2083,true,SIN,Asia Pacific,Singapore,274,0.03
47.236.87.206,2087,2087,true,SIN,Asia Pacific,Singapore,328,0.03
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,330,0.03
8.222.168.24,2096,2096,true,SIN,Asia Pacific,Singapore,272,0.03
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,277,0.02
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,325,0.02
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,317,0.01
8.222.140.185,2082,2082,false,SIN,Asia Pacific,Singapore,271,0.01
8.219.121.24,8880,8880,false,SIN,Asia Pacific,Singapore,278,0.01
8.219.40.255,2095,2095,false,SIN,Asia Pacific,Singapore,282,0.01
8.222.145.110,80,80,false,SIN,Asia Pacific,Singapore,272,0.01
8.222.205.210,443,443,true,SIN,Asia Pacific,Singapore,276,0.01
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,279,0.01
8.222.221.86,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.01
8.219.77.91,8880,8880,false,SIN,Asia Pacific,Singapore,275,0.00
8.219.66.156,2082,2082,false,SIN,Asia Pacific,Singapore,275,0.00
8.222.154.227,8080,8080,false,SIN,Asia Pacific,Singapore,279,0.00
8.222.131.102,8080,8080,false,SIN,Asia Pacific,Singapore,279,0.00
47.236.94.113,8080,8080,false,SIN,Asia Pacific,Singapore,318,0.00
47.236.130.95,8880,8880,false,SIN,Asia Pacific,Singapore,314,0.00
8.219.194.170,80,80,false,SIN,Asia Pacific,Singapore,319,0.00
47.236.15.73,2095,2095,false,SIN,Asia Pacific,Singapore,312,0.00
8.222.212.172,2082,2082,false,SIN,Asia Pacific,Singapore,277,0.00
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,318,0.00
8.222.136.196,2095,2095,false,SIN,Asia Pacific,Singapore,280,0.00
8.219.66.156,8080,8080,false,SIN,Asia Pacific,Singapore,269,0.00
8.219.170.223,2095,2095,false,SIN,Asia Pacific,Singapore,322,0.00
8.222.224.162,8880,8880,false,SIN,Asia Pacific,Singapore,274,0.00
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,322,0.00
47.236.11.84,2053,0,true,SIN,Asia Pacific,Singapore,331,0.00
8.219.42.72,2052,2052,false,SIN,Asia Pacific,Singapore,273,0.00
47.236.125.62,80,80,false,SIN,Asia Pacific,Singapore,315,0.00
8.219.213.133,8443,8443,true,SIN,Asia Pacific,Singapore,319,0.00
47.236.144.48,8880,8880,false,SIN,Asia Pacific,Singapore,333,0.00
47.236.11.84,2082,2082,false,SIN,Asia Pacific,Singapore,314,0.00
8.219.194.170,8880,8880,false,SIN,Asia Pacific,Singapore,332,0.00
8.222.168.234,2095,2095,false,SIN,Asia Pacific,Singapore,277,0.00
8.222.238.141,2082,0,false,SIN,Asia Pacific,Singapore,280,0.00
8.209.212.5,2053,2053,true,NRT,Asia Pacific,Tokyo,61,0.00
8.222.212.219,2082,2082,false,SIN,Asia Pacific,Singapore,276,0.00
47.236.145.180,2096,2096,true,SIN,Asia Pacific,Singapore,332,0.00
8.222.224.162,8080,8080,false,SIN,Asia Pacific,Singapore,279,0.00
8.218.8.142,8443,0,true,HKG,Asia Pacific,Hong Kong,52,0.00
8.219.51.211,80,80,false,SIN,Asia Pacific,Singapore,270,0.00
8.222.227.191,2082,2082,false,SIN,Asia Pacific,Singapore,277,0.00
8.219.198.139,8880,8880,false,SIN,Asia Pacific,Singapore,331,0.00
8.222.229.102,8880,8880,false,SIN,Asia Pacific,Singapore,272,0.00
8.222.224.162,80,80,false,SIN,Asia Pacific,Singapore,280,0.00
8.219.112.75,2095,2095,false,SIN,Asia Pacific,Singapore,273,0.00
47.236.116.182,80,80,false,SIN,Asia Pacific,Singapore,315,0.00
8.222.144.219,2096,2096,true,SIN,Asia Pacific,Singapore,283,0.00
8.222.214.231,80,0,false,SIN,Asia Pacific,Singapore,272,0.00
8.219.170.223,2087,2087,true,SIN,Asia Pacific,Singapore,318,0.00
8.222.152.165,2096,2096,true,SIN,Asia Pacific,Singapore,274,0.00
8.219.198.139,2095,2095,false,SIN,Asia Pacific,Singapore,331,0.00
8.219.121.24,8443,8443,true,SIN,Asia Pacific,Singapore,297,0.00
47.236.87.206,2082,2082,false,SIN,Asia Pacific,Singapore,337,0.00
47.236.99.131,2082,2082,false,SIN,Asia Pacific,Singapore,327,0.00
8.219.167.113,2052,2052,false,SIN,Asia Pacific,Singapore,323,0.00
8.222.137.166,80,80,false,SIN,Asia Pacific,Singapore,280,0.00
47.236.7.13,2087,2087,true,SIN,Asia Pacific,Singapore,334,0.00
8.222.224.163,2082,2082,false,SIN,Asia Pacific,Singapore,272,0.00
47.236.83.196,2095,2095,false,SIN,Asia Pacific,Singapore,326,0.00
8.222.226.15,2087,0,true,SIN,Asia Pacific,Singapore,279,0.00
8.219.106.15,443,0,true,SIN,Asia Pacific,Singapore,280,0.00
8.222.237.131,2087,2087,true,SIN,Asia Pacific,Singapore,281,0.00
8.222.224.162,2095,2095,false,SIN,Asia Pacific,Singapore,288,0.00
8.219.82.177,2082,2082,false,SIN,Asia Pacific,Singapore,280,0.00
